Code,Expiry Date,P/C,Exercise,Bid,Offer,Last,Open Interest
NABC58,27/06/2019,Put,38.000,11.700,11.700,0.000,0
NABZI9,26/09/2019,Call,24.000,4.025,4.025,0.000,0
NABZJ9,26/09/2019,Put,24.000,0.905,0.905,0.000,0
NABZM8,26/09/2019,Call,25.000,3.210,3.210,0.000,0
NABZN8,26/09/2019,Put,25.000,1.275,1.275,0.000,0
NABRQ8,26/09/2019,Call,26.000,2.475,2.475,0.000,0
NABRR8,26/09/2019,Put,26.000,1.710,1.710,0.000,0
NABXK7,26/09/2019,Call,27.000,1.855,1.855,0.000,0
NABXL7,26/09/2019,Put,27.000,2.205,2.205,0.000,0
NABXM7,26/09/2019,Call,28.000,1.365,1.365,0.000,0
NABXN7,26/09/2019,Put,28.000,2.765,2.765,0.000,0
NABXO7,26/09/2019,Call,29.000,1.000,1.000,0.000,300
NABXP7,26/09/2019,Put,29.000,3.415,3.415,0.000,40
NABX97,26/09/2019,Call,30.000,0.725,0.725,0.000,0
NABXA7,26/09/2019,Put,30.000,4.155,4.155,0.000,40
NABX77,26/09/2019,Call,31.000,0.525,0.525,0.000,0
NABX87,26/09/2019,Put,31.000,4.975,4.975,0.000,0
NABXD7,26/09/2019,Call,32.000,0.375,0.375,0.000,0
NABXF7,26/09/2019,Put,32.000,5.870,5.870,0.000,50
NABXB7,26/09/2019,Call,33.000,0.265,0.265,0.000,10
NABXC7,26/09/2019,Put,33.000,6.815,6.815,0.000,0
NABXI7,26/09/2019,Call,34.000,0.185,0.185,0.000,0
NABXJ7,26/09/2019,Put,34.000,7.785,7.785,0.000,0
NABXG7,26/09/2019,Call,35.000,0.130,0.130,0.000,0
NABXH7,26/09/2019,Put,35.000,8.760,8.760,0.000,0
NABZI7,26/09/2019,Call,36.000,0.090,0.090,0.000,0
NABZJ7,26/09/2019,Put,36.000,9.735,9.735,0.000,0
NABIN8,26/09/2019,Call,37.000,0.060,0.060,0.000,0
NABIO8,26/09/2019,Put,37.000,10.715,10.715,0.000,0
NABZK9,19/12/2019,Call,24.000,4.105,4.105,0.000,0
NABZL9,19/12/2019,Put,24.000,1.345,1.345,0.000,40
NABYI8,19/12/2019,Call,25.000,3.310,3.310,0.000,0
NABYJ8,19/12/2019,Put,25.000,1.790,1.790,0.000,"1,500"
NABKF9,19/12/2019,Call,26.000,2.590,2.590,0.000,0
NABKG9,19/12/2019,Put,26.000,2.285,2.285,0.000,0
NABXV8,19/12/2019,Call,27.000,1.980,1.980,0.000,0
NABXW8,19/12/2019,Put,27.000,2.830,2.830,0.000,15
NABXF8,19/12/2019,Call,28.000,1.500,1.500,0.000,50
NABXG8,19/12/2019,Put,28.000,3.440,3.440,0.000,52
NABXH8,19/12/2019,Call,29.000,1.135,1.135,0.000,100
NABXI8,19/12/2019,Put,29.000,4.115,4.115,0.000,40
NABXT8,19/12/2019,Call,30.000,0.860,0.860,0.000,0
NABXU8,19/12/2019,Put,30.000,4.870,4.870,0.000,38
NABXR8,19/12/2019,Call,31.000,0.650,0.650,0.000,100
NABXS8,19/12/2019,Put,31.000,5.695,5.695,0.000,100
NABXJ8,19/12/2019,Call,32.000,0.490,0.490,0.000,0
NABXK8,19/12/2019,Put,32.000,6.580,6.580,0.000,0
NABXL8,19/12/2019,Call,33.000,0.365,0.365,0.000,0
NABXM8,19/12/2019,Put,33.000,7.505,7.505,0.000,13
NABXP8,19/12/2019,Call,34.000,0.275,0.275,0.000,0
NABXQ8,19/12/2019,Put,34.000,8.455,8.455,0.000,0
NABXN8,19/12/2019,Call,35.000,0.200,0.200,0.000,0
NABXO8,19/12/2019,Put,35.000,9.415,9.415,0.000,2
NABFL9,19/12/2019,Call,36.000,0.145,0.145,0.000,0
NABFM9,19/12/2019,Put,36.000,10.385,10.385,0.000,85
NABEZ7,19/12/2019,Call,37.000,0.110,0.110,0.000,0
NABF17,19/12/2019,Put,37.000,11.350,11.350,0.000,0
NABF67,19/12/2019,Call,38.000,0.080,0.080,0.000,0
NABF77,19/12/2019,Put,38.000,12.320,12.320,0.000,0
NABF97,19/12/2019,Call,39.000,0.055,0.055,0.000,0
NABF87,19/12/2019,Put,39.000,13.295,13.295,0.000,0
NABYD7,26/03/2020,Call,24.000,4.045,4.045,0.000,0
NABYE7,26/03/2020,Put,24.000,1.295,1.295,0.000,0
NABYF7,26/03/2020,Call,25.000,3.260,3.260,0.000,0
NABYG7,26/03/2020,Put,25.000,1.740,1.740,0.000,0
NABYL7,26/03/2020,Call,26.000,2.570,2.570,0.000,0
NABYM7,26/03/2020,Put,26.000,2.245,2.245,0.000,0
NABYN7,26/03/2020,Call,27.000,1.990,1.990,0.000,0
NABYO7,26/03/2020,Put,27.000,2.805,2.805,0.000,0
NABYP7,26/03/2020,Call,28.000,1.515,1.515,0.000,0
NABYQ7,26/03/2020,Put,28.000,3.415,3.415,0.000,0
NABYR7,26/03/2020,Call,29.000,1.135,1.135,0.000,0
NABYS7,26/03/2020,Put,29.000,4.070,4.070,0.000,0
NABYH7,26/03/2020,Call,30.000,0.840,0.840,0.000,0
NABYI7,26/03/2020,Put,30.000,4.795,4.795,0.000,0
